iter	Passed	Remaining
231	592	1962
232	594	1957
233	596	1953
234	598	1948
235	600	1944
236	602	1939
237	604	1936
238	606	1932
239	608	1928
240	610	1924
241	613	1920
242	615	1916
243	616	1911
244	618	1907
245	620	1903
246	623	1900
247	625	1896
248	627	1891
249	629	1887
250	630	1882
251	632	1878
252	634	1874
253	636	1870
254	638	1866
255	641	1863
256	642	1858
257	644	1854
258	646	1850
259	648	1846
260	650	1842
261	652	1838
262	654	1834
263	656	1830
264	658	1826
265	660	1822
266	662	1818
267	664	1814
268	666	1810
269	668	1806
270	670	1802
271	672	1798
272	673	1794
273	675	1790
274	677	1787
275	679	1783
276	681	1779
277	683	1775
278	685	1771
279	687	1767
280	689	1764
281	691	1760
282	693	1755
283	694	1751
284	696	1748
285	698	1744
286	700	1741
287	702	1737
288	704	1733
289	706	1729
290	708	1726
291	710	1722
292	712	1718
293	714	1714
294	716	1711
295	717	1707
296	719	1703
297	721	1700
298	723	1696
299	725	1693
300	727	1689
301	729	1686
302	731	1683
303	733	1679
304	735	1676
305	737	1673
306	740	1670
307	742	1667
308	744	1664
309	746	1661
310	748	1658
311	750	1655
312	753	1653
313	755	1649
314	757	1646
315	759	1643
316	761	1639
317	762	1636
318	764	1633
319	766	1629
320	769	1627
321	771	1624
322	773	1621
323	775	1618
324	777	1614
325	779	1611
326	781	1608
327	783	1605
328	785	1602
329	787	1599
330	789	1596
331	791	1593
332	793	1590
333	795	1586
334	797	1583
335	799	1580
336	802	1578
337	804	1574
338	805	1571
339	807	1568
340	809	1565
341	811	1562
342	813	1559
343	815	1555
344	817	1552
345	819	1549
346	821	1546
347	823	1543
348	825	1540
349	827	1536
350	829	1533
351	831	1530
352	833	1528
353	835	1524
354	837	1521
355	839	1518
356	841	1515
357	843	1512
358	845	1508
359	846	1505
360	849	1502
361	850	1499
362	852	1496
363	854	1493
364	856	1490
365	858	1486
366	860	1483
367	862	1480
368	864	1477
369	866	1474
370	867	1471
371	869	1468
372	871	1465
373	873	1462
374	875	1459
375	877	1456
376	879	1452
377	881	1449
378	883	1446
379	884	1443
380	886	1440
381	888	1437
382	890	1434
383	892	1431
384	894	1428
385	896	1425
386	898	1422
387	900	1419
388	901	1416
389	903	1413
390	905	1410
391	907	1408
392	909	1405
393	911	1402
394	914	1399
395	916	1397
396	918	1394
397	920	1392
398	922	1389
399	924	1386
400	926	1383
401	928	1381
402	930	1378
403	932	1376
404	934	1373
405	936	1370
406	938	1368
407	940	1365
408	942	1362
409	945	1360
410	947	1358
411	949	1355
412	951	1352
413	953	1350
414	955	1347
415	958	1345
416	960	1342
417	962	1340
418	964	1337
419	967	1335
420	968	1332
421	971	1330
422	973	1327
423	975	1324
424	977	1322
425	979	1320
426	981	1317
427	983	1314
428	985	1312
429	987	1309
430	990	1307
431	992	1304
432	994	1302
433	996	1299
434	998	1297
435	1000	1294
436	1002	1291
437	1004	1289
438	1006	1286
439	1008	1284
440	1011	1281
441	1013	1279
442	1015	1276
443	1017	1273
444	1019	1270
445	1020	1268
446	1022	1265
447	1025	1263
448	1027	1260
449	1029	1258
450	1031	1255
451	1033	1253
452	1035	1250
453	1037	1248
454	1039	1245
455	1042	1243
456	1044	1240
457	1046	1238
458	1048	1235
459	1050	1233
460	1052	1230
461	1054	1228
462	1056	1225
463	1058	1223
464	1060	1220
465	1062	1217
466	1064	1215
467	1066	1212
468	1068	1209
469	1070	1206
470	1072	1204
471	1074	1201
472	1075	1198
473	1077	1196
474	1079	1193
475	1081	1190
476	1083	1188
477	1085	1185
478	1087	1182
479	1089	1180
480	1091	1177
481	1093	1174
482	1094	1171
483	1096	1169
484	1098	1166
485	1100	1164
486	1102	1161
487	1104	1158
488	1106	1156
489	1108	1153
490	1110	1150
491	1112	1148
492	1114	1145
493	1116	1143
494	1118	1140
495	1119	1138
496	1121	1135
497	1124	1133
498	1126	1130
499	1128	1128
500	1130	1125
501	1132	1123
502	1134	1120
503	1135	1117
504	1138	1115
505	1140	1113
506	1142	1110
507	1143	1107
508	1146	1105
509	1147	1102
510	1149	1100
511	1151	1097
512	1154	1095
513	1156	1093
514	1158	1090
515	1160	1088
516	1161	1085
517	1163	1083
518	1165	1080
519	1167	1078
520	1170	1075
521	1172	1073
522	1174	1071
523	1176	1068
524	1178	1066
525	1180	1063
526	1182	1060
527	1183	1058
528	1186	1056
529	1188	1053
530	1190	1051
531	1192	1048
532	1194	1046
533	1196	1043
534	1198	1041
535	1200	1039
536	1202	1036
537	1204	1034
538	1206	1031
539	1208	1029
540	1210	1027
541	1212	1024
542	1214	1022
543	1216	1019
544	1218	1017
545	1220	1015
546	1222	1012
547	1224	1010
548	1226	1007
549	1228	1005
550	1230	1002
551	1232	1000
552	1234	997
553	1236	995
554	1238	992
555	1240	990
556	1241	987
557	1243	985
558	1245	982
559	1247	980
560	1249	977
561	1251	975
562	1253	972
563	1255	970
564	1257	968
565	1259	965
566	1261	963
567	1263	960
568	1265	958
569	1267	955
570	1269	953
571	1270	951
572	1272	948
573	1274	946
574	1276	943
575	1278	941
576	1280	938
577	1282	936
578	1284	933
579	1286	931
580	1288	929
581	1290	926
582	1291	924
583	1293	921
584	1295	919
585	1297	916
586	1299	914
587	1301	911
588	1303	909
589	1305	907
590	1307	904
591	1309	902
592	1311	900
593	1313	897
594	1316	895
595	1318	893
596	1320	891
597	1322	888
598	1324	886
599	1326	884
600	1329	882
601	1332	880
602	1334	878
603	1337	876
604	1339	874
605	1341	872
606	1344	870
607	1346	868
608	1349	866
609	1351	864
610	1353	862
611	1356	859
612	1358	857
613	1360	855
614	1363	853
615	1365	851
616	1367	848
617	1369	846
618	1371	844
619	1373	841
620	1375	839
621	1377	837
622	1379	834
623	1381	832
624	1383	830
625	1385	827
626	1387	825
627	1389	823
628	1391	820
629	1393	818
630	1396	816
631	1398	814
632	1400	811
633	1402	809
634	1404	807
635	1406	804
636	1408	802
637	1410	800
638	1412	798
639	1414	795
640	1416	793
641	1418	790
642	1420	788
643	1422	786
644	1424	783
645	1425	781
646	1427	779
647	1429	776
648	1431	774
649	1433	772
650	1435	769
651	1437	767
652	1439	764
653	1441	762
654	1443	760
655	1445	757
656	1447	755
657	1449	753
658	1451	750
659	1452	748
660	1454	746
661	1456	743
662	1458	741
663	1460	739
664	1462	736
665	1464	734
666	1466	732
667	1468	729
668	1470	727
669	1472	725
670	1474	722
671	1476	720
672	1477	718
673	1479	715
674	1481	713
675	1483	711
676	1485	708
677	1487	706
678	1489	704
679	1491	701
680	1493	699
681	1494	697
682	1496	694
683	1498	692
684	1500	690
685	1502	687
686	1504	685
687	1506	683
688	1508	680
689	1509	678
690	1511	676
691	1514	673
692	1516	671
693	1517	669
694	1520	667
695	1521	664
696	1523	662
697	1526	660
698	1528	658
699	1530	655
700	1532	653
701	1534	651
702	1536	648
703	1538	646
704	1540	644
705	1542	642
706	1544	640
707	1546	637
708	1548	635
709	1550	633
710	1552	630
711	1554	628
712	1556	626
713	1558	624
714	1560	621
715	1562	619
716	1564	617
717	1566	615
718	1568	612
719	1570	610
720	1572	608
721	1574	606
722	1576	604
723	1578	601
724	1580	599
725	1582	597
726	1584	595
727	1586	592
728	1588	590
729	1590	588
730	1592	586
731	1594	583
732	1596	581
733	1598	579
734	1600	577
735	1602	574
736	1605	572
737	1607	570
738	1609	568
739	1611	566
740	1613	563
741	1614	561
742	1616	559
743	1618	557
744	1620	554
745	1622	552
746	1624	550
747	1626	548
748	1628	545
749	1630	543
750	1632	541
751	1634	538
752	1636	536
753	1638	534
754	1640	532
755	1642	530
756	1644	527
757	1645	525
758	1647	523
759	1649	520
760	1651	518
761	1653	516
762	1655	514
763	1657	511
764	1659	509
765	1661	507
766	1663	505
767	1665	502
768	1666	500
769	1668	498
770	1670	496
771	1672	494
772	1674	491
773	1676	489
774	1678	487
775	1680	485
776	1682	482
777	1684	480
778	1686	478
779	1688	476
780	1690	473
781	1692	471
782	1694	469
783	1695	467
784	1697	465
785	1699	462
786	1701	460
787	1703	458
788	1705	456
789	1707	453
790	1709	451
791	1711	449
792	1713	447
793	1715	445
794	1717	442
795	1719	440
796	1721	438
797	1723	436
798	1725	434
799	1727	431
800	1729	429
801	1731	427
802	1733	425
803	1735	423
804	1738	421
805	1740	418
806	1742	416
807	1744	414
808	1746	412
809	1748	410
810	1750	407
811	1752	405
812	1754	403
813	1756	401
814	1758	399
815	1760	397
816	1762	394
817	1764	392
818	1767	390
819	1769	388
820	1771	386
821	1773	383
822	1775	381
823	1777	379
824	1779	377
825	1781	375
826	1783	373
827	1785	370
828	1787	368
829	1789	366
830	1791	364
831	1793	362
832	1795	359
833	1797	357
834	1799	355
835	1801	353
836	1803	351
837	1805	349
838	1807	346
839	1809	344
840	1811	342
841	1813	340
842	1815	338
843	1817	335
844	1819	333
845	1821	331
846	1823	329
847	1825	327
848	1827	324
849	1829	322
850	1831	320
851	1833	318
852	1835	316
853	1836	314
854	1838	311
855	1840	309
856	1842	307
857	1844	305
858	1846	303
859	1848	300
860	1850	298
861	1852	296
862	1854	294
863	1855	292
864	1857	289
865	1859	287
866	1861	285
867	1863	283
868	1865	281
869	1867	279
870	1869	276
871	1871	274
872	1873	272
873	1875	270
874	1877	268
875	1878	265
876	1880	263
877	1882	261
878	1884	259
879	1886	257
880	1888	255
881	1890	252
882	1892	250
883	1894	248
884	1896	246
885	1897	244
886	1899	242
887	1901	239
888	1903	237
889	1905	235
890	1907	233
891	1909	231
892	1911	229
893	1913	226
894	1915	224
895	1917	222
896	1919	220
897	1921	218
898	1923	216
899	1925	213
900	1928	211
901	1930	209
902	1932	207
903	1934	205
904	1936	203
905	1938	201
906	1940	198
907	1942	196
908	1944	194
909	1946	192
910	1948	190
911	1950	188
912	1952	186
913	1955	183
914	1957	181
915	1960	179
916	1962	177
917	1964	175
918	1967	173
919	1969	171
920	1971	169
921	1974	167
922	1976	164
923	1978	162
924	1980	160
925	1982	158
926	1984	156
927	1986	154
928	1988	151
929	1990	149
930	1992	147
931	1994	145
932	1997	143
933	1999	141
934	2001	139
935	2002	136
936	2005	134
937	2006	132
938	2009	130
939	2010	128
940	2012	126
941	2014	124
942	2016	121
943	2018	119
944	2020	117
945	2022	115
946	2024	113
947	2026	111
948	2028	108
949	2029	106
950	2031	104
951	2033	102
952	2035	100
953	2037	98
954	2039	96
955	2041	93
956	2043	91
957	2045	89
958	2047	87
959	2049	85
960	2051	83
961	2053	81
962	2055	78
963	2056	76
964	2058	74
965	2060	72
966	2062	70
967	2064	68
968	2066	66
969	2068	63
970	2070	61
971	2072	59
972	2074	57
973	2075	55
974	2077	53
975	2079	51
976	2081	49
977	2083	46
978	2085	44
979	2087	42
980	2089	40
981	2090	38
982	2092	36
983	2094	34
984	2096	31
985	2098	29
986	2100	27
987	2102	25
988	2105	23
989	2107	21
990	2109	19
991	2111	17
992	2113	14
993	2115	12
994	2117	10
995	2119	8
996	2121	6
997	2123	4
998	2125	2
999	2127	0
